,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,employer_provided,min_salary,max_salary,average_salary,company_text,Job_state,company_age,python_yn,rstudio_yn,spark_yn,powerbi_yn,aws_yn,excel_yn
0,Basketball Data Scientist (remote opportunity),$38K - $85K (Glassdoor est.),"Who are we hiring?

As a Basketball Data Scientist, you will leverage analytics to create competitive advantages and influence decision-making within Basketball Operations. You will support stakeholders (e.g., Scouting, Strategy) by exploring and analyzing data, crafting visualizations, uncovering robust and actionable insights, and communicating findings. Your work will be critical to establishing the Knicks as an analytics leader and creating a culture of sustained success.

What will you do?

Collaborate with stakeholders (e.g., Scouting, Strategy) to explore and determine analytic needs.
Support decision-making through analysis, research, and reporting.








Madison Square Garden Sports Corp. (MSG Sports) is a leading professional sports company, with a collection of assets that includes: the New York Knicks (NBA) and the New York Rangers (NHL); two development league teams – the Westchester Knicks (NBAGL) and the Hartford Wolf Pack (AHL); and esports teams through Counter Logic Gaming, a leading North American esports organization, and Knicks Gaming, an NBA 2K League franchise. MSG Sports also operates two professional sports team performance centers – the MSG Training Center in Greenburgh, NY and the CLG Performance Center in Los Angeles, CA. More information is available at www.msgsports.com.


Bachelor’s degree in Computer Science, Statistics, Mathematics, Economics, Operations Research, or related field Educational requirements may differ from job to job based on the role.



At MSG we value diversity and are looking for extraordinary employees of all backgrounds! MSG is an Equal Opportunity Employer and provides equal employment opportunities to all employees and applicants for employment without regard to race, color, religion, gender, sexual orientation, gender identity or expression, sexual and reproductive health choices, national origin, citizenship, age, genetic information, disability, or veteran status. In addition to federal law mandates, MSG complies with all applicable state and local laws governing nondiscrimination in all locations and will consider requests for reasonable accommodations as required.",3.6,"Madison Square Garden Entertainment
3.6","Tarrytown, NY",1001 to 5000 Employees,-1,Company - Public,Sports & Recreation,"Arts, Entertainment & Recreation",$100 to $500 million (USD),0,0,38,85,61.5,"Madison Square Garden Entertainment
", NY,-1,0,0,0,0,1,0
1,Data Scientist,$83K - $160K (Glassdoor est.),"Company Description

Public Storage is recognized as one of America’s Best Large Employers in 2022 by Forbes and our employees have also voted us as a Great Place to Work, having Best Career Growth, ranked us in the Top 5% for Work Culture, and in the Top 10% for Diversity and Inclusion.
With more than 2,800 locations nationwide, Public Storage is the leader in the self-storage industry, and given our number of tenants, we may very well be the world's largest landlord. We've experienced unprecedented growth over the past four decades, and it's in no small part due to the dedicated team that has helped us become an S&P 500 industry leader, the country's largest real estate investment trust (REIT), and the most recognizable name in self-storage.

Job Description",3.2,"Public Storage
3.2","Glendale, CA",5001 to 10000 Employees,1972,Company - Public,Real Estate,Real Estate,$2 to $5 billion (USD),0,0,83,160,121.5,"Public Storage
", CA,50,0,0,0,0,0,0
2,Data Scientist - New College Grad,$62K - $140K (Glassdoor est.),"Data and its proper use is crucial to that vision and the data science team plays a fundamental role in understanding and interpreting those data sources.

The Wealthfront data science team creates data products to deliver personalized financial product experiences, develops best in class investment algorithms, and analyzes our rich financial and behavioral data to make key business decisions. The team draws from a variety of backgrounds in Computer Science & Engineering, Statistics, Economics, Math, Operations Research, and Financial Engineering. We derive strength from this diversity and are constantly learning and teaching each other in a down-to-earth and dynamic environment. We are neither too big where you would be just another cog in the system, nor are we too small that none of our efforts can be realized.

As a Data Scientist in Wealthfront’s Data Science organization, you’ll be responsible for improving the quality of our decisions using data and the scientific method. Your work will generate tools and insights that inform product and business decisions throughout the company and across the product lifecycle, from ideation and research to launch and iteration. You will mentor and collaborate with your data science colleagues with a focus on technical skills and career development. We are fortunate to work with experienced product managers and engineers that have worked on products at companies like Facebook, Google, Twitter and Apple. This is an opportunity to learn from some of the most experienced operators in the startup world and to further an important and meaningful mission. Our Data Science team focuses on product analytics (for the product areas of Investments and Banking), A/B Testing, growth/marketing analytics, and risk analytics (fraud, credit).",4.5,"Wealthfront
4.5","Palo Alto, CA",51 to 200 Employees,2011,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,0,0,62,140,101.0,"Wealthfront
", CA,11,0,0,0,0,1,0
3,data scientist (multiple openings) - Remote,$57K - $136K (Glassdoor est.),"Job Posting
: Mar 14, 2022
Job Posting End Date
: Ongoing
Location
: US-WA-Seattle-Starbucks Support Center
Is this role eligible for remote or hybrid work? : Yes-Remote",3.8,"Starbucks
3.8","Seattle, WA",10000+ Employees,1971,Company - Public,Fast-Food & Quick-Service Restaurants,"Restaurants, Bars & Food Services",$10+ billion (USD),0,0,57,136,96.5,"Starbucks
", WA,51,0,0,0,0,0,0
4,Data Scientist,$76K - $150K (Glassdoor est.),"Source Systems is now inviting the brightest, creative and passionate minds to become a part of our Data Scientist Internship Program. Work with our industry experts to gain unrivaled knowledge at both the strategic level (generating bold and innovative ideas for data science-driven growth) and at the tactical level across multiple teams (building and testing hypotheses, creating predictive analytics models, incorporating findings into proof points supporting product launches). These invaluable experiences will greatly increase your skills and value to employers. We know what it takes to leverage powerful data systems that are used to provide important results for company planning and key decision making.
Job Description
A position at Source Systems is a rich experience that cannot be duplicated in any other learning/working environment. We are looking for a Data Scientist Intern that helps us discover the information hidden in vast amounts of data, and help us make smarter decisions to deliver even better products. Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high-quality prediction systems integrated with our products.",4.4,"Source Enterprises
4.4","New York, NY",1 to 50 Employees,-1,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,0,0,76,150,113.0,"Source Enterprises
", NY,-1,0,0,0,0,0,0
5,Data Scientist,Employer Provided Salary:$170K,"Moodys Northwest Consulting looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data.
Responsibilities
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Build predictive models and machine-learning algorithms",-1.0,Moodys Northwest consulting,"Bellevue, WA",-1,-1,-1,-1,-1,-1,0,1,170,170,170.0,Moodys Northwest consulting, WA,-1,0,0,0,0,0,0
6,Data Scientist,$64K - $125K (Glassdoor est.),"Data Scientist
Overview:
The community has a need for timely and accurate COVID-19 results and information to protect themselves and others during this pandemic. GS Labs is responding to this call-to-action. We are prepared to provide this testing in a professional, safe environment and need reliable and detail-oriented people willing to join our team. If you feel called to contribute to the community in a meaningful way while earning a good wage, this opportunity might be for you.

What are we looking for?
We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for machine-learning and research. Your goal will be to help our company analyze trends to make better decisions.",4.2,"GS Labs, LLC
4.2","Omaha, NE",1001 to 5000 Employees,2003,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,64,125,94.5,"GS Labs, LLC
", NE,19,0,0,0,0,0,0
7,Data Annotator,$36K - $73K (Glassdoor est.),"Machine Learning and Artificial Intelligence play a critical role in transforming CCB Operations. The ability to utilize data in meaningful ways allows us to develop solutions which both our customers and employees can benefit from. Customers expect tailored servicing and Chase is looking to deliver personalization to meet their needs. This is powered by high-quality annotated data and detailed annotation schemes that are the backbone of impactful AI/ML algorithms and applications.

As a Product Delivery - Data Annotator, you will work closely with and partner with teams in Data Science, Analytics and Engineering on the collection, curation, annotation, enrichment and validation of data and the development of taxonomies and other linguistic resources to help train machine learning models, drive insight, analysis, and possible content creation.

Responsibilities:

Minimum Qualifications:

Preferred skillset:",3.7,"JPMorgan Chase Bank, N.A.
3.7","Columbus, OH",Unknown,1799,Company - Public,Banks & Credit Unions,Finance,Unknown / Non-Applicable,0,0,36,73,54.5,"JPMorgan Chase Bank, N.A.
", OH,223,0,0,0,0,0,0
8,"Data Scientist, Ecommerce",$61K - $140K (Glassdoor est.),"Company Description

Since we first opened our doors in 2009, the world of commerce has evolved immensely – and so has Square. After enabling anyone to take a payment and never miss a sale, we saw sellers stymied by disparate, outmoded products and tools that wouldn’t work together. So we expanded into software and started building integrated, omnichannel solutions – to help sellers sell online, manage inventory, run a busy kitchen, book appointments, engage loyal buyers, and hire and pay staff. And across it all, we’ve embedded financial services tools at the point of sale, so merchants can access a business loan and manage their cash flow all in one place.

Today, we’re a partner to sellers of all sizes – large, enterprise-scale businesses with complex commerce operations, sellers just starting out, as well as merchants who began selling with Square and have grown larger over time. As our sellers scale, so do our solutions. We all grow together.

There is a massive opportunity in front of us. We’re building a business that is big, meaningful, and lasting. And we are helping sellers around the world do the same.",4.2,"Square
4.2","San Francisco, CA",5001 to 10000 Employees,2009,Company - Public,Internet,Information Technology,$1 to $2 billion (USD),0,0,61,140,100.5,"Square
", CA,13,0,0,0,0,0,0
9,"Senior Data Scientist, NLP / Conversational AI",$69K - $151K (Glassdoor est.),"About Carvana
If you like disrupting the norm and are looking for a company revolutionizing an industry then you will LOVE what Carvana has done for the car buying experience. Buying a car the old fashioned way sucks and we are working hard to make it NOT suck. At Carvana, our customers can hop online to...
Search and browse our inventory of over 20,000 vehicles that we own and certify.
Narrow down search results using highly intelligent filtering tools/components.
View vehicle details, Carfax reports, and 360 rotating studio images for every vehicle.
Secure financing in minutes using Carvana's in-house service or their own bank.
Interact with GUI components to easily customize loan length, down payment, and monthly payment.",3.4,"Carvana
3.4","San Francisco, CA",5001 to 10000 Employees,2013,Company - Public,Other Retail Stores,Retail,Unknown / Non-Applicable,0,0,69,151,110.0,"Carvana
", CA,9,0,0,0,0,0,0
